from_station,to_station,weekday_fare,weekend_fare,total_time,stations
AIIMS,EANR,43,43,0:48:18,16
AIIMS,ECMJ,54,54,1:12:58,24
AIIMS,ESIH,43,43,0:36:57,11
AIIMS,GAT,63,63,0:43:42,15
AIIMS,GDPI,32,32,0:37:21,9
AIIMS,GE,43,43,0:26:40,11
AIIMS,GEC,43,43,0:51:09,15
AIIMS,GHEM,64,64,1:10:20,25
AIIMS,GKEI,32,32,0:21:28,6
AIIMS,GKPR,54,54,0:53:22,18
AIIMS,GNPK,11,11,0:02:15,2
AIIMS,GTBR,43,43,0:31:59,16
AIIMS,GTNI,32,32,0:20:08,9
AIIMS,HCC,54,54,0:35:30,15
AIIMS,HDNR,54,54,1:03:31,26
AIIMS,HKS,21,21,0:04:50,3
AIIMS,HNOK,32,32,0:39:58,10
AIIMS,IDPT,32,32,0:28:53,10
AIIMS,IFOC,43,43,0:33:12,14
AIIMS,IGDA,32,32,0:29:40,9
AIIMS,IICC,107,107,0:48:26,15
AIIMS,IIT,21,21,0:16:53,4
AIIMS,ILOK,43,43,0:43:30,17
AIIMS,INA,11,11,0:01:49,2
AIIMS,IPE,43,43,0:53:02,17
AIIMS,ITO,32,32,0:21:48,9
AIIMS,IWNR,32,32,0:29:33,10
AIIMS,JAMD,43,43,0:26:05,11
AIIMS,JANR,32,32,0:31:59,11
AIIMS,JB,21,21,0:04:02,3
AIIMS,JFRB,43,43,0:48:59,16
AIIMS,JGPA,32,32,0:24:29,5
AIIMS,JGPI,54,54,0:40:43,20
AIIMS,JIEE,54,54,0:55:38,19
AIIMS,JLA,32,32,0:42:11,11
AIIMS,JLA8,43,43,0:39:20,13
AIIMS,JLML,43,43,0:47:11,18
AIIMS,JLNS,32,32,0:26:29,6
AIIMS,JNPH,32,32,0:16:45,7
AIIMS,JPE,43,43,0:52:58,14
AIIMS,JPVE,,,,
AIIMS,JPW,43,43,0:49:02,14
AIIMS,JRMJ,,,,
AIIMS,JW,32,32,0:24:09,10
AIIMS,KB,32,32,0:26:21,11
AIIMS,KE,54,54,0:57:50,15
AIIMS,KG,32,32,0:23:11,12
AIIMS,KHCY,32,32,0:26:13,6
AIIMS,KHNA,43,43,0:55:55,17
AIIMS,KIKJ,43,43,0:44:20,14
AIIMS,KJKS,,,,
AIIMS,KJMD,32,32,0:25:27,8
AIIMS,KKDA,43,43,0:41:50,15
AIIMS,KKDC,43,43,0:54:08,16
AIIMS,KM,32,32,0:18:57,7
AIIMS,KN,43,43,0:45:33,18
AIIMS,KNR,43,43,0:34:34,15
AIIMS,KP,43,43,0:47:12,19
AIIMS,KPEN,54,54,1:01:02,15
AIIMS,KSHI,43,43,0:46:04,17
AIIMS,LJPN,21,21,0:16:54,4
AIIMS,LKM,21,21,0:06:19,4
AIIMS,LLQA,43,43,0:27:39,12
AIIMS,LN,43,43,0:34:38,12
AIIMS,MAL,63,63,0:45:23,16
AIIMS,MAPR,43,43,0:49:10,14
AIIMS,MDHS,32,32,0:20:05,8
AIIMS,MDTW,43,43,0:34:15,17
AIIMS,METE,43,43,0:46:34,13
AIIMS,MGRO,43,43,0:30:45,13
AIIMS,MIAA,54,54,1:07:42,24
AIIMS,MIEE,64,64,1:17:11,28
AIIMS,MIRK,32,32,0:20:56,6
AIIMS,MKPR,43,43,0:50:18,19
AIIMS,MLCD,21,21,0:23:53,5
AIIMS,MMJR,54,54,0:59:34,18
AIIMS,MN,43,43,0:49:11,12
AIIMS,MNGM,54,54,0:59:41,24
AIIMS,MPK,43,43,0:45:10,17
AIIMS,MUDK,54,54,1:05:20,23
AIIMS,MUPR,43,43,0:51:16,17
AIIMS,MVE,43,43,0:37:46,9
AIIMS,MVNR,21,21,0:07:30,4
AIIMS,MVP1,43,43,0:30:31,8
AIIMS,MVPO,43,43,0:32:09,9
AIIMS,MYPI,43,43,0:32:08,9
AIIMS,NAGR,43,43,0:39:48,10
AIIMS,NAVR,32,32,0:29:08,8
AIIMS,NBAA,54,54,1:05:15,27
AIIMS,NCAJ,54,54,1:08:28,22
AIIMS,NCBC,54,54,1:16:08,25
AIIMS,NCC,54,54,0:53:17,16
AIIMS,NDI,32,32,0:17:00,9
AIIMS,NECC,54,54,1:06:21,22
AIIMS,NFGH,54,54,1:21:25,21
AIIMS,NHPC,43,43,0:57:39,17
AIIMS,NIZM,32,32,0:25:38,7
AIIMS,NNGI,54,54,1:17:21,20
AIIMS,NNOI,54,54,0:59:30,20
AIIMS,NP,32,32,0:28:23,7
